artistName,tag1,tag2,tag3
Chorus - Sleeping Beauty,Soundtrack,composer,Disney
Farruko,Reggaeton,latin,Puerto Rican
Sleep Hunters,
Lully Hill,
Paskman,spain
Myke Towers,Reggaeton,puerto rico,trap
The Byrds,classic rock,60s,psychedelic
Anitta,pop,brazilian,funk
Sofi Tukker,dance,electronic,pop
Raggabund,reggae,dancehall,german
Noyze Freq,
Sofia Wylie,pop,Soundtrack,Disney
João Bosco & Vinicius,sertanejo,Sertanejo Universitario,musica brasileira
Mandy Gonzalez,pop,USA,Mandy Gonzalez
Michael Franti & Spearhead,reggae,Hip-Hop,funk
Capital Cities,electronic,indie,electropop
Electric Light Orchestra,classic rock,Progressive rock,rock
Iron Weasel,hard rock,heavy metal,metal
Omar Chaparro,
Fernando Dente,latin,pop,latin pop
Rombai,All,uruguay,cumbia
Billy Crystal,comedy,stand-up,stand-up comedy
Simple Plan,pop punk,punk rock,rock
Three Peels,
Seafret,indie,folk,british
Matisse,Greek,alternative rock,alternative
Samy Galí,Musica Cristiana,cristiana
Coqeéin Montana,
The Minions,Soundtrack,cartoon,pop
Nicky Youre,indie pop,pop,C
Catupecu Machu,Rock Argentino,rock,argentina
Matamba,reggae,rock,hardcore
ODESZA,chillwave,electronic,ambient
Noel Gallagher's High Flying Birds,britpop,rock,british
Big Russian Boss,trap,swag,hustle
MC Don Juan,funk,brazilian,baile funk
JoJo,pop,rnb,female vocalists
Chino & Nacho,Reggaeton,latin,pop
Christina Perri,pop,female vocalists,singer-songwriter
Dímelo Flow,latin,Reggaeton,Panama
d´caro groove,
Jakobínarína,icelandic,punk,indie
The Kills,Garage Rock,indie rock,indie
BC Unidos,swedish,indie pop,pop
Leon Bridges,soul,american,rnb
Radical Face,indie,indie pop,singer-songwriter
Joe Dolan,oldies,classic rock,60s
"Grover Washington, Jr.",jazz,Smooth Jazz,saxophone
Mora Navarro,female vocalists,pop,argentinian
Ratones Paranoicos,rock,Rock Argentino,rocanrol
Andruss,tech house,mexico,mexican tech house
Macklemore & Ryan Lewis,Hip-Hop,rap,underground hip-hop
Spanish Flow,
Wham!,pop,80s,new wave
Ibeyi,trip-hop,experimental,electronic
Recordings From Earth,
Cumbieton,Cumbia villera,estilo cumbia,cumbieton
Anakelly,Bossa Nova,jazz,chillout
Wacomo,
The K's,indie rock,indie,british
Fran Laborde,
Elenco de Soy Luna,pop,electropop,dance
Regina Orozco,Classical,80s,political
Ruth B.,rnb,pop,piano
Miguel,rnb,soul,r&b
OK KID,Hip-Hop,electronic,rap
Ben E. King,soul,60s,blues
Mad Season,Grunge,alternative rock,rock
Conkarah,reggae,jamaican,artistes
Chocolate,wood and string,latin,uruguayan
The California Honeydrops,blues,jazz,soul
Jesse Barnet,
Cher,pop,female vocalists,80s
Iacho,
Maty Deejay,
Oasis,britpop,rock,british
Surfaces,soul,pop,rnb
HiDino Canciones Para Niños,
Kovic,soul,pop,indie
Jowell & Randy,Reggaeton,Jowell y Randy,latin
Blues Motel,classic rock,rock,blues
R.E.M.,rock,alternative rock,alternative
Richard Coleman,rock,rock en español,Rock Argentino
Rosie O'Donnell,comedy,funny,Disney
Portugal. The Man,experimental,indie,indie rock
INE,soul,Hip-Hop,RAC
Blondie,new wave,80s,rock
Marisa Monte,mpb,female vocalists,brazilian
Chris Brown,rnb,Hip-Hop,Chris Brown
Broken Bells,indie,experimental,indie pop
Bacilos,latin pop,latin,spanish
DEVO,new wave,post-punk,80s
Holly Wilson,chillout,lounge,Bossa Nova
Stereo Outdoor Sampling,ambient,relax,soundscape
The Bolshoi,post-punk,new wave,Gothic Rock
Giulia Guerrini,Disney,pop,disneychannel
Tan Bionica,argentina,Rock Argentino,indie rock
Bring Me The Horizon,deathcore,metalcore,screamo
Michael ''El Prospecto'',
Carla Morrison,indie pop,female vocalists,mexico
San Lorenzo FanChants,
Rodrigo,Cuarteto,classical guitar,Classical
Fin,black metal,USBM,pop
Everyone You Know,british,pop,dance
The Script,pop rock,rock,irish
Andrew Rannells,Broadway,american,musical
BØRNS,ambient,folk,synthpop
Véronique Sanson,chanson francaise,female vocalists,french
Spanish Guitar,spanish guitar,latin,spanish
Skid Row,hard rock,heavy metal,hair metal
The Rare Occasions,indie rock,alternative rock,indie
Mozzy,rap,hip hop,Hip-Hop
Round2Crew,pop
Los Piojos,Rock Argentino,argentina,rock
Spacegod,
Interpol,post-punk,indie rock,indie
Fanny Lu,latin,spanish,pop
Banda Original Columbia,argentina,orchestra
Chapa C,Reggaeton,spanish,lo mejor
Sanco,
Pablo Palos,
José María Guzmán,
Iggy Azalea,Hip-Hop,rap,pop
Flight Risk Clevo,rap,Hip-Hop,male vocalist
juancxooo,
AGNES,pop,dance,swedish
Claudio Capéo,french,pop,chanson
Analy,Disney,Soundtrack,mexico
Muse,alternative rock,rock,Progressive rock
Sien En Tu Sien,
Chaqueño Palavecino,folk,chacarera,latin
Ginne Marker,danish,jazz,dansk
Indios,pop rock,rock,rock nacional
Scubba,Bossa Nova,lounge,chillout
LBE Nature Recordings,
Christopher Wilde,pop,Disney,male vocalists
Montell Fish,gospel,soul,Hip-Hop
Deep Chills,House,italian,Italy
Pepe Vilchis,
elaggume,
Peter Lanzani,
Daniel Powter,pop,singer-songwriter,alternative
Gerry Cinnamon,british,indie,singer-songwriter
Río Roma,pop,male vocalists,spanish
CØLƎ,
Dr. Hook,classic rock,70s,soft rock
P0rnSex,
Sleeping At Last,indie,indie rock,alternative
Porfi Baloa,
Tom Petty,classic rock,rock,singer-songwriter
Rex Orange County,indie pop,rnb,pop
Gorux,
Abraham Dj,
Tony Jay,Disney,Soundtrack,danish
Ciclo,nicaragua,Progressive rock,costa rica
Ace of Base,pop,90s,dance
Moody Me,
NEIL FRANCES,electronic,soul,indietronica
Tai Verdes,indie pop,indie,los angeles
Feid,Reggaeton,groove metal,Colombia
Rodrigo y Gabriela,acoustic,instrumental,guitar
Alae,indie,rock,indie folk
Mauri Mansilla,
Newsboys,christian,christian rock,contemporary christian
Matt Maher,christian,catholic,contemporary christian
Tomy DJ,
Heike Makatsch,german,pop,woman
Antônio Carlos Jobim,Bossa Nova,jazz,brazilian
Carmen Sarahi,español,Soundtrack,Disney
alt-J,indie,electronic,british
Anthem Lights,pop rock,christian rock,pop
Little Mix,pop,british,female vocalists
Jerry Lee Lewis,rockabilly,Rock and Roll,rock n roll
Geoff Zanelli,Soundtrack,composers,Classical
Lea in the Mix,
Salastkbron,rkt,argentina,Latin Rap
Jonathan Groff,Broadway,spring awakening,musical
Andri Hart,
Gino Vannelli,pop,jazz,Canadian
Rufus Wainwright,singer-songwriter,folk,indie
Bob Dylan,folk,singer-songwriter,classic rock
Palo Pandolfo,folk,argentina,singer-songwriter
DJ Dante,
Cardellino,uruguayan,uruguay,Montevideo
Dj Peligro,Peru,shoegaze,awful shit
John Vass,
binki,experimental,indie pop,bedroom pop
Atomic Drum Assembly,United Kingdom,electronic,Movement Assembly
Lucid Keys,
Kid Cudi,Hip-Hop,rap,alternative rap
Vilma Palma e Vampiros,Rock en Espanol,rock,argentina
Matti Ortiz,
The Dandy Warhols,indie,indie rock,alternative
Chromeo,electronic,funk,dance
Mili Llerena,
Hockey Dad,Garage Rock,surf rock,indie rock
Bad Gyal,dancehall,Reggaeton,neoperreo
Dynoro,lithuanian,electronic,EDM
Brynn Williams,us
Michael Jackson,pop,80s,dance
Disney Ukulele,
Dirty South,House,electronic,electro house
Lauv,pop,indie pop,indie
Dionne Warwick,soul,female vocalists,pop
Django Django,psychedelic,indie,experimental
Pedro Aznar,argentina,Rock Argentino,rock
Jimmy Rivas,
Catey Shaw,pop,singer-songwriter,female vocalists
Seals and Crofts,soft rock,70s,classic rock
American Babies,americana,Alt-country,singer-songwriter
Rata Blanca,heavy metal,Power metal,rock
La Joaqui,argentina,pop,spanish
Ali Gatie,rnb,Canadian,soul
Mercedes Lambre,pop argentino,argentine
Exilio,thrash metal,punk,d-beat
Axel House,
Deep Purple,hard rock,classic rock,rock
Alika,reggae,dancehall,estonia
Cruzando El Charco,alternative rock,rock,indie rock
India Martinez,Flamenco,spanish,female vocalists
Original Hit Makers,
Waves Of Time,white noise
Reneé Dominique,singer-songwriter,pop,philippines
Seis Cuerdas Magicas,
Flavio,8 bit,rap,Hip-Hop
Jesús Adrián Romero,christian,Christian Music,Musica Cristiana
System Of A Down,alternative metal,metal,Nu Metal
Lorana,female vocalist,dance,club
Richard Raeldo,
Panoramia,
Usted Señalemelo,argentina,Rock Argentino,indie
Canserbero,rap,Hip-Hop,rap venezolano
boy pablo,indie pop,indie rock,indie
Outside HD Samples,relax,ambient,rain
Bluebiird,indie pop,acoustic,pop
Defecation Area & Tony Jones & the Cretin 3,
Nacho,rap,breakcore,venezuelan
Mario Bautista,pop,latin,rnb
Lord Huron,folk,psychedelic,indie
Phil Harris,Disney,Soundtrack,male vocalists
Easy Listening Piano,
Somnolence,experimental,black metal,dark ambient
LOUTA,rich parents,argentina,chetocore
Francisco Colmenero,
Rob Ruha,New Zealand,te reo maori
Roberta Flack,soul,female vocalists,jazz
Mild High Club,psychedelic pop,psychedelic,Neo-Psychedelia
Colorix,under 2000 listeners
Mac DeMarco,Lo-Fi,indie,post-punk
Elevation Worship,christian,worship,praise and worship
Sonny Burke,ska,All
Kendrick Lamar,Hip-Hop,rap,west coast
Rolan Bell,
Cosculluela,Reggaeton,cosculluela,Hip-Hop
520Hz,
El Super Hobby,uruguay
Claudia Rezende,jazz,Bossa Nova,brazil
Joe Jonas,pop,male vocalists,dance
Soundstars,ambient
Lali,pop,argentina,dance
Brian Lanzelotta,
Shout Out Louds,indie,swedish,indie rock
Sienna Evangeline,
Gym Class Heroes,Hip-Hop,alternative,indie
Djo,psychedelic pop,indie pop,indie
The Wombats,indie,indie rock,british
Redimi2,christian,hip hop,redimi2
Mercedes Sosa,argentina,folk,latin
Zen Maestro,
Eagles,classic rock,rock,70s
Los Nota Lokos,cumbia argentina,argentina,turro
Post Malone,Hip-Hop,rap,trap
Lalo Ebratt,Colombia,colombian
La Santa Cecilia,latin,accordion,indie
The Paper Kites,folk,indie,australian
Bobby McFerrin,jazz,reggae,vocal
Emanero,rap,rock,hip hop
Stiff Little Fingers,punk,punk rock,irish
The Platters,oldies,soul,rhythm and blues
Aaron Smith,House,Hip-Hop,alternative hip-hop
Inkie,beatbox
Alejandro Lerner,argentina,male vocalists,alejandro lerner
Adrian Berra,paz,argentina,amor
One Path,spanish,spain
Alex Turner,indie,british,indie rock
Stay Homas,reggae,pop,rumba
Tom Waits,blues,singer-songwriter,experimental
Earthly Sounds,
El Niño de la Hipoteca,cantautor,singer-songwriter,spanish
Sleep Alphabet,
Skyline FX,
Carlos Viernes,
Nelly,Hip-Hop,rap,rnb
Death Cab for Cutie,indie,indie rock,alternative
Two Worlds,rock,Soundtrack,Videogame Music
El Villano,cumbia argentina,argentina,Cumbia villera
Los Pollitos,
Cuartero,minimal,electronic,minimal techno
Christina Aguilera,pop,female vocalists,soul
Hannah Montana,pop,Disney,female vocalists
Tomi Perazzone,
Razorlight,indie,indie rock,british
Guards,Lo-Fi,indie,indie pop
Parchis,spain,pop,pop kids
MHD,french,afro trap,dancehall
Erika Henningsen,hazbin hotel,Musical theatre,musical
The Offspring,punk rock,punk,rock
Trapdoor Social,indie,alt rock,alternative rock
Echosmith,indie,indie pop,pop
DJ Chino Ayala,
Funny Minions Guys,
Almighty,hard rock,underground rap,east coast rap
Alex Dover,
Nicole,pop,electronic,indie pop
Power Music Workout,Workout,dance,cover
Q' Lokura,Cuarteto
Nadav Cohen,ambient
Brothers Norge,
M.I.A.,Hip-Hop,electronic,female vocalists
Groove Da Praia,Bossa Nova,lounge,chillout
Rodri Roberts,
Cuba Cuba,indie,rock,british
Miles Kane,british,indie rock,indie
NightFunk,House,electronic,tech house
Secos & Molhados,mpb,psychedelic,brazilian
The Last Shadow Puppets,indie,british,indie rock
10cc,classic rock,rock,70s
Day Nappers,noise
Brainwave Samples,relax,ambient,rain
Armin van Buuren,trance,progressive trance,electronic
The Presets,electronic,australian,electro
Georgia Riley,
BANDA MARINA,
Rosario Dawson,musical,Rent,actress
Gin Wigmore,soul,indie,female vocalists
Lunar Skybox,USA
Jonas Brothers,pop,pop rock,Disney
Ignacio Pagani,
George Givot,Disney,Soundtrack,Italy
Neil Patrick Harris,Soundtrack,Legendary,musical
Christopher Nightingale,Classical,Soundtrack,Tolkien
Juan Luis Guerra 4.40,merengue,latin,Dominican
The White Noise Travelers,
Nico Servidio DJ,
George Ezra,indie,folk,singer-songwriter
Jason Chen,covers,male vocalists,pop
Rodrigo Tapari,
Manuel Wirzt,pop,rock,Rock Pop
MoBlack,House,electronic,techno
Microdynamic Recordings,relax,ambient,soundscape
John Travolta,Soundtrack,pop,oldies
Major Lazer,electronic,dancehall,reggae
North Point Worship,christian,worship,praise
Margarita,post-punk,punk,tropical
Vita Alexander,
Nio Garcia,latin,Reggaeton,trap
Imagine Dragons,indie,indie rock,alternative
Balu Brigada,New Zealand,indie,indie pop
Ricardo Arjona,latin,spanish,pop
La La Land Cast,jazz,Soundtrack,musical
Los Siberianos,indie,argentina,La pampa
Talking Heads,new wave,post-punk,80s
Alan Menken,Soundtrack,Disney,musical
LIL NIX,rap,Hip-Hop
Max Escurra,
The Skinner Brothers,british alternative rock,english indie rock,UK
Cage The Elephant,indie rock,alternative,rock
De La Ghetto,Reggaeton,latin,hip hop
BLOODMOON,black metal,Sludge,doom metal
Lauty Gram,funk
Shawn Mendes,pop,Canadian,folk
Quvenzhané Wallis,musical,USA,musicals
Brian Tyler,Soundtrack,composer,instrumental
Fugees,Hip-Hop,rap,soul
Emily Blunt,female vocalists,pop,british
Justin Hurwitz,jazz,Soundtrack,composer
The Ring,heavy metal,Power metal,swedish
Tati Zaqui,baile funk,indie,funk
Nando Estevané,
Xuxa,female vocalists,pop,infantil
Conrado,Conrado,Nacional,xfactorbrasil
Chico De Neón,
Luis Pescetti,comic,argentina,infantil
Aya Nakamura,rnb,pop,french
Marcianos Crew,Hip-Hop,argentina
American Authors,indie,indie rock,rock
Free,classic rock,blues rock,rock
KEVIN ROLDAN,Reggaeton,All,Colombia
Paté de Fuá,jazz,cabaret,World Music
Hoobastank,alternative rock,rock,alternative
Bomba Estéreo,Colombia,latin,cumbia
Zak Downtown,genre: hip-hop,Hip-Hop,male vocalist
Matt Redman,worship,christian,contemporary christian
Relaxing Noises,
Lisa Ono,Bossa Nova,jazz,japanese
Billy Eichner,USA,american,new york
Tiano Bless,
6th Street Jazz,jazz
Banda Do Sul,Bossa Nova,lounge,bossa
Lilly Wood and The Prick,french,indie,indie pop
Limp Bizkit,Nu Metal,rapcore,alternative
Münchener Freiheit,pop,german,80s
Toots & The Maytals,reggae,ska,rocksteady
XXXTENTACION,Hip-Hop,rap,cloud rap
Jacob Forever,Reggaeton,cuba,latin
Hot Chip,electronic,indie,electropop
Vicentico,Rock Argentino,argentina,rock en español
Wesley Safadão,dEUS,god,rei
Rene Gonzales,christian,gospel,cristianas
Gummibär,dance,electronic,techno
simonbrito.dj,
Bravo Fisher!,indie,electropop,spanish
SIX,musical,pop,Nu Metal
Frankenstein World Premiere Cast,
Mitchell Hope,lidarr,Mitchell Hope
Thomas Jack,tropical house,deep house,australian
Hamzaa,indie pop,pop,rnb
Michael Calfan,House,Progressive House,club
Audioslave,alternative rock,rock,hard rock
Bob Marley & The Wailers,reggae,roots reggae,ska
Osi Tejerina,
Pinkfong,cartoon,kids,children
David and the High Spirit,Mondiovision,world,All
Coldplay,rock,alternative,britpop
Urba y Rome,puerto rico
Banda Eva,Axe,brazilian,brasil
Shermanology,curacao,House,dance
Nfasis,latin,Reggaeton,Dominican
overpass,british,indie,alternative rock
Pat Carroll,Soundtrack,Disney,musical
Riley Foster,jazz
Lizzy McAlpine,indie pop,folk,indie folk
Hiroshi Yoshimura,ambient,electronic,japanese
Johann Strauss II,Classical,romantic,waltz
Shannon & Keast,indie folk,United Kingdom,indiecoustica
Joseph Vincent,guitar,covers,good music
Los Turros,Cumbia villera,argentina,turro
Hailee Steinfeld,pop,female vocalists,dance
Noise Sucre,under 2000 listeners
Hanna,deep house,spanish,Flamenco
New Order,new wave,post-punk,electronic
Dread Mar I,reggae,reggae argentino,roots reggae
Vanessa y Los Punto Com,
Reik,pop,latin pop,latin
Barbatuques,experimental,body percussion,brazilian
blink-182,punk rock,pop punk,punk
Reykon,Reggaeton,latin,spanish
Cocoon,folk,indie,french
Jason Born,hands up,electronic,dance
STRFKR,electronic,indie pop,indie
Claudia Cota,
ATFC,House,funky house,vocal house
Sundara Karma,indie,indie rock,british
Martin Cilia,Surf,rock,rocknroll
Sentidos Opuestos,mexico,pop,latin pop
Kiko Argüello,christian,catholic,religious catholic neocatechumenalWay christian
Charlie Puth,pop,rnb,soul
Digilake,
a-ha,new wave,pop,80s
Arturo Mercado Jr,
ZAYN,pop,rnb,british
Tove Styrke,swedish,pop,electropop
Lobo,70s,pop,oldies
The Outfield,80s,rock,classic rock
Matisyahu,reggae,Hip-Hop,jewish
Sungha Jung,acoustic,guitar,fingerstyle
Roar,indie pop,indie,arizona
Erreway,latin,pop,Pop-Rock
Sheryl Crow,female vocalists,rock,pop
Majo Cardozo,
Canciones Infantiles,maestros,popular,cancionero
Antidoping,reggae,mexican,dub
Mentatranque,
Vian Izak,indie,folk,pop
TV Girl,indie pop,Lo-Fi,indie
Marissa Jaret Winokur,Hairspray,american,musical
Shaggy,reggae,dancehall,Hip-Hop
PREVIA Y CACHENGUE 2K24,
Washed Out,chillwave,electronic,Lo-Fi
Seba Zuccala,
Magic Man,electronic,indie,indie pop
Lea Salonga,female vocalists,Disney,pop
Peabo Bryson,soul,rnb,80s
Todos los Martes,Buenos Aires,Rock Argentino
Gnarls Barkley,funk,soul,Hip-Hop
Laura Benanti,female vocalists,Musical theatre,Broadway
Travie McCoy,Hip-Hop,rap,alternative rap
Funky,lithuanian,Christian Reggeaton,funky
Led Zeppelin,classic rock,hard rock,rock
SZA,rnb,soul,alternative rnb
Young Tender,dance,indie,indie pop
Aska Mill,
Joshua Dietrich,
LADAMA,latinoamerica,world,latin american
Verna Felton,Disney,Soundtrack,jazz
El Natty Combo,reggae,argentina,reggae argentino
Luis Enrique,salsa,salsa romantica,Best Salsa
Pretenders,rock,new wave,80s
Memphis La Blusera,blues,Rock Argentino,argentina
Bingo Players,House,electronic,techno
Matt Duncan,indie,USA,kentucky
Cast Member,Disney
MGMT,electronic,indie,psychedelic
The Art of Nature,
Lea Wright,
Spin Doctors,rock,alternative rock,90s
DJ Style,downtempo,chillout,All
"Cristóbal Fones, Sj",catholic,acoustic,pop
Kina,hardcore,italian hardcore,italian
El Duo los Tres,
Naturelax,
Laura Dreyfuss,musical,american,Broadway
The Weeknd,rnb,electronic,dubstep
ChiChi Peralta,latin,salsa,merengue
Keith David,Soundtrack,hazbin hotel,musical
Brulet,
Klangspiel,brown noise
No Wyld,rap,indie,New Zealand
Daniela Herrero,female vocalists,argentina,argentinian
Dj Batata,baile funk,funk,brasil
Manuel Medrano,latin pop,Brutal Death Metal,Colombia
Yandel,Reggaeton,latin,sexy
Guasones,Rock Argentino,rock,rock nacional
Charlie Brown Jr.,rock,brazilian rock,brazilian
Fat Joe,Hip-Hop,rap,east coast rap
Serú Girán,argentina,Progressive rock,Rock Argentino
Embrasser La Pluie,
Diego Torres,latin,pop,argentina
The Vaccines,indie rock,indie,british
Evadne Baker,UK,Soundtrack,musical
Los del Fuego,los del fuego,argentina,cumbia
OMFG,All,electronic,dubstep
Forrest.,emo,pop punk,alternative
Double Zero,Drum and bass,jungle,clownstep
Johnny Hodges & His Orchestra,jazz,swing,Big Band
Christine D'Clario,christian,Musica Cristiana,alabanza
Tobey Rosen,
Pharrell Williams,Hip-Hop,rnb,rap
Isabela Souza,pop,brasil,disneychannel
Natalie Perez,argentina,Soundtrack,argentinian
Lourdes Ambriz,
El Turko,
DJVI,EDM,electronic,dance
Antoine Barry,Soundtrack
Lira,rnb,female vocalists,soul
Toquinho,Bossa Nova,mpb,brazilian
Glass Trio,USA,jazz,NYC
Passion Pit,electronic,indie,indie pop
The Pussycat Dolls,pop,rnb,dance
13 Original Broadway Cast,musical,showtunes,Broadway
Kultiration,reggae,Swedish reggae,swedish
Allie Trimm,musicals musicals,us
Traviezoz de la Zierra,mexico,corridos
HM Surf,chillhop,electronic,Norway
Blur,britpop,rock,indie
Dan Bull,rap,Hip-Hop,hip hop
Drefquila;Bizarrap,
Kensington,indie,dutch,rock
Silvio Rodríguez,trova,cuba,cantautor
Michael W. Smith,christian,worship,contemporary christian
Her's,dream pop,post-punk,jangle pop
Drake,Hip-Hop,rap,rnb
Eslabon Armado,Corridos tumbados,Sierreno,mexico
Viraliza2,
Alcalde La Sonora,
Audiomachine,Soundtrack,instrumental,Trailer Music
Bristol Love,chillout,lounge,UK
Jerry Di,latin,Reggaeton,Hip-Hop
Bronze Radio Return,indie,blues,american
The Lumineers,folk,indie,folk rock
Dozy FX,
sora.wav,
Loquillo,rock,spanish,Rock and Roll
Modjo,House,electronic,dance
Chris de Burgh,pop,soft rock,80s
Focus Noise,death metal,noise,slam
Paco Amoroso,argentina,electronic,rap
Alice Merton,pop,indie,female vocalists
Marito,folclore
El Perro Chocolo,
Jump5,pop,christian,Jump5
Coro de la Misa de Tortugas,catholic,acoustic,Catolica
Manta Ray,post-rock,indie,experimental
Iyaz,rnb,Hip-Hop,pop
MC Hammer,Hip-Hop,rap,90s
The Coral,indie,indie rock,british
Alejandra Tabita,
Santana,rock,classic rock,latin
Hildur Guðnadóttir,ambient,icelandic,cello
Alex Mar,
Amelia Grey,
Leiva,rock,rock en español,All
All Tvvins,indie rock,indie,indie pop
Greta Van Fleet,hard rock,blues rock,rock
Bruno Borlone,funk,hip hop,dj
Emus DJ,
Gladys "La bomba tucumana",argentinian
Kali Uchis,rnb,Neo-Soul,soul
K0i,neoperreo
Selena Gomez,pop,female vocalists,Disney
Allie X,synthpop,electropop,pop
Santi Celli,indie,pop,compositor
Gera Samba,brazilian,Axe,better than radiohead
La Muza,reggae,ska,american
Mensajeros Reggae,
Emilia,pop,female vocalists,swedish
Yahritza Y Su Esencia,latin,Ballad,mexico
Maneva,reggae,brazil,brazilian reggae
slowburn,hardcore,hard rock,australian
Tay Oskee,discoverunsigned,singer-songwriter,indie
Angela Torres,latin pop,pop,latin
Romina Marroquín Payró,
Nico LaFleur,
Mumford & Sons,folk,indie,british
Pablo Benegas,
Joe-Joe,
Turquoise Turmoil,
Darkiel,Reggaeton,Latin Trap
Luli Pampín,
Dillom,trap,RIP GANG,hip hop
Volcan,electro,french,cumbia
Gary Glitter,glam rock,classic rock,70s
Colegio Mayor P. José Kentenich,
Najwa,trip-hop,electronic,female vocalists
Lindiwe Mkhize,south african,south africa,Lindiwe Mkhize
Gepe,chile,folk,indie
Zen Master,
Tobías Buteler,
Chapa & Castelo,argentina
Chorus,Soundtrack,vocal,All
Cartoon Rainbow,
Simonelmono,
Sofia Carrasco,
JK Jones,
Dosi,instrumental hip-hop
Tim Maia,soul,mpb,funk
Makaveli,rap,Hip-Hop,Gangsta Rap
Karol Sevilla,mexico,female vocalist,latino
Chiquititas,infantil- juvenil- brasileira,Chiquititas 2013,argentina
El Apache Ness,Reggaeton,argentina,Cumbia villera
Superorganism,indie pop,electronic,art pop
Alejandro y Maria Laura,Peru,folk,indie
Américo,latin,chile,cumbia
Los Originales De San Juan,corridos,me gusta tomar cervesa,la motosierra
Jada Facer,cute,american,female vocalists
Two Door Cinema Club,indie,electronic,british
The Moving Stills,Garage Rock,pop,indie pop
Eric Lévi,new age,Eric Levi,french
alex polo,
Guilherme & Santiago,sertanejo,brazilian country,brazilian music
Sig Ragga,reggae,ska,Fusion
Xella Machina,pink noise,noise
Bon Iver,folk,indie,singer-songwriter
Pearl Jam,Grunge,rock,alternative rock
iñigo quintero,latin,pop,spanish
Yuridia,pop,spanish,female vocalists
Eric Hutchinson,singer-songwriter,acoustic,indie
Ram Nasta,
Bronsen Vidas,
Cheap Trick,classic rock,rock,power pop
DEGrande,
Magpie Jazz Trio,jazz,instrumental
Surfistas Del Sistema,indie,rock,pop
Baby K,rap,hip hop,italian
The Von Bondies,Garage Rock,indie rock,indie
Tenno,instrumental hip-hop,electronic,hungary
Year of the Deer,under 2000 listeners
CHVRCHES,synthpop,electronic,electropop
Pescado Rabioso,rock,Rock Argentino,70s
Alex Metric,electronic,breakbeat,electro
Jae Hall,
Lake Street Dive,soul,jazz,swing
Van Morrison,singer-songwriter,classic rock,folk
Lady Gaga,pop,dance,electronic
All He Tano Faz,
El Chacal & Los Alpes Floreados,
Aziel Wesley,
KG970,spanish,rap,drill
James Taylor,folk,singer-songwriter,acoustic
Mariah Carey,pop,rnb,female vocalists
Jemaine Clement,Soundtrack,All,classic rock
Audio Adrenaline,christian rock,christian,rock
Matt White,acoustic,singer-songwriter,indie
Bunbury,rock,Rock en Espanol,spanish
Soundgarden,Grunge,alternative rock,rock
Edvard Grieg,Classical,romantic,norwegian
Arath Herce,
Raffa Fl,Italy,deep house,Raffa
Mala Fama,cumbia,Cumbia villera,argentina
Andrés Calamaro,Rock Argentino,rock,argentina
Ricky Martin,pop,latin,latin pop
5 Seconds of Summer,pop punk,pop rock,pop
Lasoosh,
Lengualerta,rap,reggae,mexican
Azucar Moreno,spanish,pop,latin
Noah Vail,
Anne-Marie,pop,rnb,british
Alex Sensation,Colombia,cubaton,Latin Urban
Mark Wilkinson,Drum and bass,jungle,acoustic
C.R.O,rap,german,hip hop
BC. Bad Music,
Philip Bailey,soul,funk,pop
Cach House,
Vertical Worship,chicago,USA,contemporary christian
Datarock,electronic,indie,new rave
The Foundations,soul,60s,oldies
La Bomba de Tiempo,dance,electronic,argentina
Mc Beyonce,brazil,recalcada,progressive funk
R 4 Rain,
Beth Fowler,Disney,Soundtrack,love songs
Tommy Flanagan,jazz,jazz piano,piano
Hugh Jackman,musical,actors,actor
Hailey Kilgore,
LUCIANA SOSA,
Kaiser Chiefs,indie,indie rock,britpop
Kuana Torres Kahele,Hawaiian,folk,singer-songwriter
Raimundos,hardcore,punk rock,brazilian
Cazuza,mpb,rock,brazilian rock
Rei,japanese,rap,orchestral
Peter McPoland,country,folk,indie
Marc Streitenfeld,Soundtrack,composer,german
James Bay,folk,indie,singer-songwriter
Carolina Gaitán,Colombia,encanto cast
AURORA,art pop,synthpop,indie pop
Captain & Tennille,pop,70s,female vocalists
Robin Thicke,soul,rnb,pop
Speelburg,indie pop,electronic,synth pop
Bertt Que,
Pappo's Blues,blues rock,blues,argentina
Romeo Santos,bachata,latin,pop
Remi Wolf,indie pop,pop,soul
Simply Red,pop,soul,80s
Barbra Streisand,female vocalists,pop,80s
Gengahr,indie,Psychedelic Rock,british
El Kaio,
Javiielo,puerto rico
Blazerod,
Casting Crowns,christian,christian rock,worship
Chance Peña,folk,singer-songwriter,on some dark shit
Reyli Barba,spanish,pop,Romantica
Luis Giraldo,Disney,pop,disneychannel
Rising Appalachia,folk,folk fusion,female vocalists
Franco Yan,
The Snuts,indie rock,rock,pop rock
ACRU,argentina
Cetu Javu,synthpop,new wave,80s
Emma Watson,pop,france,female vocalists
Medrana,
Royal Philharmonic Orchestra,Classical,instrumental,symphony
Julio Melgar,All,Christian Music,Cristiano
Zeballos,rap,uruguay,white rapper
Pedro Fernández,mexico,latin,mariachi
Brooks,House,electronic,techno
WD Sounds,
JB Scofield,UK hip-hop,Grime,UK rap
Coro Pascua Joven San Isidro,acoustic,pop,argentina
Asan,argentina
Jason Derulo,rnb,pop,male vocalists
Cristian Castro,latin,pop,latin pop
Playing For Change,world,reggae,peace
Madonna,pop,dance,female vocalists
DJ Cossio,
Lemaitre,electronic,electronica,glitch
