endTime,artistName,trackName,msPlayed
2025-03-20 18:02,Bob Marley & The Wailers,Rebel Music (3 O'Clock Roadblock),405666
2025-03-20 18:05,Bob Marley & The Wailers,Africa Unite,175626
2025-03-20 18:09,El Kuelgue,Circunvalación,234306
2025-03-20 18:13,Nonpalidece,La Sonrisa,238466
2025-03-20 18:18,Bob Marley & The Wailers,Sun Is Shining,298506
2025-03-20 18:22,Bob Marley & The Wailers,Is This Love,232200
2025-03-20 18:26,Los Cafres,Vos sabés,238291
2025-03-20 18:30,Nonpalidece,Activistas,229394
2025-03-20 18:34,Dread Mar I,Hoja en Blanco,282226
2025-03-20 18:37,Dread Mar I,Migajas,171834
2025-03-20 18:41,Bob Marley & The Wailers,Waiting In Vain,256493
2025-03-20 18:45,Bob Marley & The Wailers,Could You Be Loved,237133
2025-03-20 18:49,Los Cafres,Capitán Pelusa,247066
2025-03-20 18:54,Los Cafres,Aire,257999
2025-03-20 18:58,Dread Mar I,En el Seno del Amor,226640
2025-03-20 19:03,Kameleba,Con Vos,316066
2025-03-20 19:07,Los Cafres,Loco,272853
2025-03-20 19:12,Orishas,El Kilo,266814
2025-03-20 19:15,Nonpalidece,Reggae en el Universo,186533
2025-03-20 23:43,Los Cafres,Verte Bien,28519
2025-03-21 11:33,No Te Va Gustar,A las Nueve,55185
2025-03-21 11:40,Las Pastillas del Abuelo,Skalipso,297650
2025-03-21 11:44,Andrés Calamaro,La parte de adelante,261626
2025-03-21 11:47,Vicentico,Algo Contigo (with Our Latin Thing),189000
2025-03-21 12:16,La Vela Puerca,Clarobscuro,308666
2025-03-21 12:19,No Te Va Gustar,Ese Maldito Momento,185866
2025-03-21 12:23,Intoxicados,Se Fue Al Cielo,225813
2025-03-21 12:26,Los Abuelos De La Nada,Hombre Lobo,219120
2025-03-21 12:29,Los Tipitos,Brujería,182079
2025-03-21 12:33,Pappo,Juntos a la Par,161133
2025-03-21 12:37,Los Rodriguez,Mucho mejor (feat. Coque Malla),234800
2025-03-21 12:41,Los Abuelos De La Nada,Costumbres Argentinas - En Vivo,197933
2025-03-21 12:46,La Renga,Balada Del Diablo y La Muerte,336360
2025-03-21 12:52,Los Rodriguez,Dulce condena,281560
2025-03-21 12:55,Vicentico,Los Caminos de la Vida,239040
2025-03-21 12:59,Guasones,Tan Distintos,196242
2025-03-21 13:03,Blues Motel,Es Hora de Volverlo a Hacer,226120
2025-03-21 13:08,La Franela,Hacer un puente,282958
2025-03-21 13:13,Intoxicados,Reggae Para Los Amigos,296666
2025-03-21 22:30,Intoxicados,Fuego,103709
2025-03-21 23:04,Intoxicados,Fuego,10612
2025-03-22 02:51,Intoxicados,Fuego,148524
2025-03-22 02:53,Los Auténticos Decadentes,La Prima Lejana,73932
2025-03-22 02:57,La Vela Puerca,Zafar,262000
2025-03-22 03:36,Viejas Locas,Todo Sigue Igual,23568
2025-03-22 17:25,Viejas Locas,Todo Sigue Igual,192339
2025-03-22 17:30,Intoxicados,Pila Pila,266320
2025-03-22 17:35,La Vela Puerca,Clarobscuro,308666
2025-03-22 17:51,Los Caballeros De La Quema,Avanti Morocha,118468
2025-03-22 20:35,Los Caballeros De La Quema,Avanti Morocha,229320
2025-03-22 20:41,Virus,Luna de Miel en la Mano,316426
2025-03-22 20:44,Patricio Rey y sus Redonditos de Ricota,Un Poco de Amor Francés,206200
2025-03-22 21:01,La Vela Puerca,Dice,268794
2025-03-22 23:14,La Vela Puerca,Dice,38643
2025-03-22 23:18,Callejeros,9 de Julio,226746
2025-03-22 23:21,La Franela,Lo Que Me Mata,197473
2025-03-22 23:36,Intoxicados,El Rey,293594
2025-03-23 04:31,Intoxicados,El Rey,67787
2025-03-23 04:35,La Franela,Lo Que Me Mata,197474
2025-03-23 04:56,Intoxicados,El Rey,412213
2025-03-23 17:48,Bizarrap,"Luck Ra: Bzrp Music Sessions, Vol. 61/66",96575
2025-03-24 02:14,No Doubt,Don't Speak,1640
2025-03-24 02:14,No Doubt,Just A Girl,1866
2025-03-24 02:53,No Doubt,Just A Girl,29930
2025-03-24 13:32,The Kooks,Never Know,752
2025-03-24 13:36,The Kooks,Sunny Baby,198154
2025-03-24 13:57,The Kooks,Never Know,7200
2025-03-24 14:55,The Kooks,Is It Me,9194
2025-03-24 14:55,The Kooks,Never Know,82110
2025-03-24 15:01,The Kooks,Be Who You Are,234693
2025-03-24 15:04,The Kooks,Sunny Baby,199040
2025-03-24 15:07,The Kooks,Naive,203506
2025-03-24 15:11,The Kooks,Junk Of The Heart (Happy),187253
2025-03-24 15:13,The Kooks,Jeanie,161632
2025-03-24 15:17,The Kooks,Bad Habit,221413
2025-03-24 15:20,The Kooks,She Moves In Her Own Way,169306
2025-03-24 15:23,The Kooks,Always Where I Need To Be,161720
2025-03-24 15:25,The Kooks,Never Know,175120
2025-03-24 15:42,The Kooks,Sweet Emotion,289343
2025-03-24 22:35,The Kooks,Sweet Emotion,20262
2025-03-24 22:42,The Kooks,Ooh La,208973
2025-03-24 22:49,The Kooks,Taking Pictures Of You,161982
2025-03-24 22:53,The Kooks,Sway,216880
2025-03-24 22:56,The Kooks,Westside,210193
2025-03-24 22:58,The Kooks,Seaside,99226
2025-03-24 23:01,The Kooks,Beautiful World,183586
2025-03-24 23:06,The Kooks,Gap,239960
2025-03-24 23:10,The Kooks,Around Town,250692
2025-03-24 23:13,The Kooks,Sofa Song,133253
2025-03-24 23:25,The Kooks,Oasis,74396
2025-03-25 00:41,Los Tipitos,Silencio,1580
2025-03-25 11:48,Andrés Calamaro,Flaca,277653
2025-03-25 11:53,Andrés Calamaro,Crímenes perfectos,264840
2025-03-25 11:56,Andrés Calamaro,Cuando te conocí,199666
2025-03-25 12:01,Bunbury,Sin documentos,289053
2025-03-25 12:04,Andrés Calamaro,Mi gin tonic,173320
