year,rock,pop,indie,ska_reggae,latin,hip_hop,electronic,folk,soul_rnb_blues,christian,acoustic_instrumental,brazilian,chill,children,funk,alternative,dance,metal,musical,jazz,punk,country,classical,world,emo,funny,workout,xmas
2015-01-01,0,0.78326666666666666667,0,0,10.4603000000000000,0.03535000000000000000,0,0.07816666666666666667,0,0,0,0,0,0,0,0,0,0,0,3.1610000000000000,0,0,0,0,0,0,0,0
2016-01-01,1132.4349000000000000,1098.7234500000000000,223.2457833333333333,92.9276833333333333,327.8871666666666667,6.8428000000000000,67.1054000000000000,275.2553166666666667,212.0220500000000000,10.0515333333333333,28.3710833333333333,0.000000000000000000000000,28.4338833333333333,0,0,114.3769500000000000,33.5184500000000000,8.7648833333333333,17.7221666666666667,26.8391000000000000,6.9982166666666667,0,0,0,0,0,0,0
2017-01-01,1740.5672166666666667,2954.5213000000000000,213.7258166666666667,70.2766500000000000,2060.3948666666666667,223.1197333333333333,441.8830833333333333,190.6191666666666667,326.8057666666666667,7.5386500000000000,52.1151833333333333,4.4256333333333333,2.9891000000000000,147.4546000000000000,34.7496000000000000,15.0094666666666667,56.0948000000000000,1.7519166666666667,51.6201333333333333,49.2544000000000000,0.92763333333333333333,24.3158833333333333,3.2300833333333333,0.22445000000000000000,0,0,0,0.05301666666666666667
2018-01-01,2538.6926666666666667,3131.2967500000000000,169.2310500000000000,692.8888333333333333,552.4559333333333333,1190.2588833333333333,652.7105333333333333,133.8068666666666667,273.9595166666666667,26.4459166666666667,73.8043166666666667,25.9023666666666667,16.6398500000000000,249.6458666666666667,75.4091500000000000,74.4278500000000000,121.6043833333333333,28.4741333333333333,79.3505833333333333,19.1346666666666667,0.70233333333333333333,130.2476333333333333,3.1830166666666667,6.8986333333333333,0,0,0,0
2019-01-01,3727.2972500000000000,4567.2270500000000000,657.0729166666666667,286.5610833333333333,1048.7378833333333333,288.3292500000000000,465.8081333333333333,87.2446500000000000,162.3612666666666667,304.0085333333333333,94.6838833333333333,58.7593166666666667,11.1443000000000000,73.0447833333333333,12.8947333333333333,26.9962666666666667,48.9635833333333333,33.8220666666666667,155.2317000000000000,40.2038666666666667,14.5167166666666667,100.4537666666666667,0.16370000000000000000,2.7066666666666667,0,0,0,0
2020-01-01,6264.2035833333333333,5614.9427666666666667,1355.7754333333333333,699.8278000000000000,1933.7452166666666667,573.9340666666666667,308.7070166666666667,135.9029666666666667,233.8373666666666667,161.9641833333333333,45.4737333333333333,276.7803666666666667,122.0476333333333333,255.0093333333333333,93.6242166666666667,34.1558166666666667,50.2378666666666667,237.9581166666666667,112.8645500000000000,15.9811500000000000,102.9033833333333333,38.9324333333333333,3.7304333333333333,0.01735000000000000000,0,0.57895000000000000000,0,0
2021-01-01,6291.6616166666666667,8460.1344000000000000,3590.4302666666666667,6713.5360833333333333,1263.0933666666666667,1600.6695333333333333,1885.2468833333333333,308.9435166666666667,813.2939833333333333,317.5492833333333333,32.7409166666666667,878.9493333333333333,77.2715500000000000,188.0393166666666667,58.0919333333333333,184.2471666666666667,182.2116500000000000,157.0176666666666667,63.1743000000000000,35.1258833333333333,17.3355500000000000,115.1412666666666667,0.72535000000000000000,7.8439333333333333,0,0,0.22180000000000000000,0
2022-01-01,10862.3074166666666667,7925.2885333333333333,4198.9309166666666667,3377.3030000000000000,2081.5701833333333333,3497.3234333333333333,1736.8476500000000000,937.0269000000000000,745.9597833333333333,108.2927666666666667,612.1851333333333333,434.4545166666666667,312.2188833333333333,77.8034666666666667,121.6091500000000000,97.4456333333333333,179.7229500000000000,93.7577833333333333,81.1322166666666667,92.6512500000000000,46.8150166666666667,46.0854166666666667,45.8613000000000000,0,6.9163333333333333,0,0,0
2023-01-01,10466.4424500000000000,6764.9526333333333333,3423.2233500000000000,4282.2895166666666667,1928.3468500000000000,1661.8376000000000000,985.6964666666666667,964.4382166666666667,710.9304166666666667,549.3000000000000000,756.6740666666666667,118.9421000000000000,474.2821333333333333,208.2219833333333333,530.5689833333333333,184.4084666666666667,109.4974000000000000,130.7896666666666667,89.2320666666666667,228.8733000000000000,22.2893166666666667,49.1235333333333333,93.2803833333333333,12.5053500000000000,1.6466666666666667,0,0,0
2024-01-01,12636.867733333333,6914.1119500000000000,3802.3567166666666667,2702.6277666666666667,1735.5824333333333333,948.7827333333333333,868.0743666666666667,1092.5368166666666667,561.9195166666666667,716.6440000000000000,361.9635333333333333,114.3037166666666667,574.1446500000000000,308.0653000000000000,243.7869666666666667,170.1040333333333333,79.2553666666666667,162.2492000000000000,72.6034666666666667,142.7742500000000000,210.6113333333333333,45.1346833333333333,4.6619333333333333,14.8285500000000000,0,0,0,0
2025-01-01,13821.047383333333,2744.0604166666666667,5210.0116666666666667,2461.7394000000000000,639.0892666666666667,1366.3493333333333333,977.5193000000000000,515.9970000000000000,392.3343833333333333,3.8451666666666667,107.6897500000000000,57.9841333333333333,243.5808833333333333,38.3264000000000000,198.9051000000000000,138.2314666666666667,68.9308000000000000,86.6348500000000000,0.45500000000000000000,46.1694500000000000,192.2438166666666667,20.5730833333333333,1.2193833333333333,3.7360000000000000,0,0,0,0
2026-01-01,3943.5755000000000000,822.2004166666666667,901.7703666666666667,626.2591500000000000,181.5491000000000000,145.3991833333333333,106.0342500000000000,315.6916500000000000,177.8518000000000000,0,31.8965666666666667,160.5125000000000000,124.8059833333333333,10.9784166666666667,32.3607000000000000,43.0779666666666667,25.3142833333333333,12.6680000000000000,39.0768000000000000,7.2597000000000000,0,2.3974833333333333,0,9.3590666666666667,0,0,0,0
